Song,RB1,RB2,RB3,NRB1,NRB2,NRB3,JLTD
'Round Midnight,377,,,,,,
'Til There Was You,,377,,,386,,
'Tis,,,327,,,,
(And) It All Goes 'Round And 'Round,,,,,,25,
(Used To Be A ) Cha-Cha,,,,,,413,
-Lover,,228,,,,,
12-4 2-4/DUPLICITIES,141,,,,,,
26-2,,,,,410,,
317 E. 32nd St,,,,,,,359
34 Skidoo,,,,,,395,
502 Blues,166,,,,,,
52nd Street Theme,,100,,,,,
720 In The Books,,,,,,,346
728,,319,,,,,
A Ballad For Doll,,,,,,48,
A Bid For,,,,,,,8
A CALL FOR ALL DEMONS,14,,,,,,
A Child Is Born,,,,,60,,
A Day In Vienna,,78,,,,,
A FAMILY JOY,17,,,,,,
A FINE ROMANCE,16,,,,,,
A Flower Is A Lovesome Thing,,108,,,,,
A FOGGY DAY,19,,,,,,
A Ghost Of A Chance,,128,,,,142,
A Japanese Waltz,,,162,,,,
A Little Chicago Fire,,222,,,,,
A Little Sweet,,,,,,,12
A Little Tear,,,,203,,,
A Lotus On Irish Streams,,,186,,,,
A NIGHT IN TUNISIA,20,,,,,,
A Nightingale Sang in Berkeley Square,,,220,,273,,
A Pretty Girl Is Like A Melody,,,250,,,,
A Quiet Place,,,,,313,,
A Sleepin' Bee,,,,335,,,
A Walkin' Thing,,388,,,,,
A Weaver Of Dreams,,,,411,,,
Ablution,,8,,,,,
Actual Proof,,,,,,11,
Adams Apple,,,,,,,9
"Aerie, The",,,,,,13,
Affirmation,,8,,14,,,
Afreaka,,,,,,,10
Africaine,,,,,,,25
AFRICAN FLOWER,21,,,,,,
AFRO BLUE,22,,,,,,
Afro-Centric,,,,,13,,
After Fact,,,,,,,24
After The Rain,,,,,15,,
After You,,,8,,,,
After You've Gone,,,9,,17,,
AFTERNOON IN PARIS,23,,,,,,
Ah-leu-cha,,,,,,,17
Ain't It The Truth,,,,,,,11
Ain't Misbehavin',,,10,,18,,
Ain't That Peculiar,,,,,,15,
Air Conditioning,,,,,,,13
Airegin,,,,15,,,
Airmail Special,,10,,,,,
Aisha,,,,,,,12
Aja's Theme,,,,,,20,
Alanjuneally,,,13,,,,
Alfie,14,,,,,,
Alfie's Theme,,11,,,,,
ALICE IN WONDERLAND,25,,,,,,
All Alone,,12,,,,,
ALL BLUES,26,,,,,,
All Cr Nothing At All,,,11,,,,
All God's Chillun Got Rhythm,,13,,,,,
ALL IN LOVE IS FAIR,27,,,,,,
All Members,,,,,,,13
All My Tomorrows,28,,,,,,
All Of Me,29,,,16,,,
All Of You,30,,,,,,
All Or Nothing At All,,,11,442,,,
All The Things You Are,31,,,17,,,
All Too Soon,,,,,,,14
Almost Like Being In Love,,,,,,22,
Alone Together,32,,,,,,
Along Came Betty,,,14,,19,,
Altoitis,,14,,,,,
Always And Forever,,,15,,,,
Always There,,,,18,,,
American Gothic,,,,,,23,
Amor Sonador,,,,,,,16
An Oscar For Treadwell,,,,,,,19
Ana Maria,33,,,20,,,
"And Now, The Queen",35,,,,,,
And On The Third Day,36,,,,,,
Angel Eyes,37,,,22,,,
Angela,,,16,,,,
Another Star,,15,,,,27,
Another Time,,,,,,29,
Anthropology,38,,,24,,,
Anti Climax,,,,,,,20
Appointment In Ghana,,,,,,31,
April,,17,,,,,
April Head,,,,,,,18
April In Paris,39,,,,,,
April Joy,40,,,,,,
April Skies,,16,,,,,
Aquarius,,,,,,,20
Are They Only Dreams,,,,,,,21
Arietas,,,,,,34,
"Arise, Her Eyes",41,,,,,,
Armageddon,43,,,,,,
Armando's Rhumba,,,17,,,,
Around Again,35,,,,,,
Arriving Soon,,,,,,,19
As Time Goes By,44,,,,,,
Asa,,,,,21,,
Ask Me Now,,19,,,,,
At Last,,,,,,,22
Au Privave,45,,,,,,
Autumn In 3,,,19,,,,
Autumn In New York,46,,,,,,
Autumn Leaves,49,,,25,,,
Autumn Liebs,,,,,,,23
Autumn Nocturne,,,20,,,,
Autumn Serenade,,,,,,37,
Avalon,,20,,,,,
Avalon Place,,,21,,,,
Avance,,,,,23,,
"Ay, Arriba!",47,,,,,,
Azule Serape,,,,,,,23
B-Sting,,,,,,39,
