728,312,RB2
12-4 2-4/DUPLICITIES,128,RB1
317 E. 32nd St,352,JLTD
502 BLUES,153,RB1
52nd Street Theme,93,RB2
720 In The Books,339,JLTD
A Bid For,1,JLTD
A CALL FOR ALL DEMONS,1,RB1
A CHILD IS BORN,2,RB1
A FAMILY JOY,4,RB1
A FINE ROMANCE,3,RB1
A FOGGY DAY,6,RB1
A Little Sweet,5,JLTD
A NIGHT IN TUNISIA,7,RB1
Ablution,1,RB2
Adams Apple,2,JLTD
Affirmation,2,RB2
Afreaka,3,JLTD
Africaine,18,JLTD
AFRICAN FLOWER,8,RB1
AFRO BLUE,9,RB1
After Fact,17,JLTD
After You,1,RB3
After You've Gone,2,RB3
AFTERNOON IN PARIS,10,RB1
Ah-leu-cha,10,JLTD
Ain't It The Truth,4,JLTD
Ain't Misbehavin',3,RB3
Air Conditioning,6,JLTD
AIREGIN,11,RB1
Airmail Special,3,RB2
Aisha,5,JLTD
Alanjuneally,6,RB3
ALFIE,1,RB1A
Alfie's Theme,4,RB2
ALICE IN WONDERLAND,12,RB1
All Alone,5,RB2
ALL BLUES,13,RB1
All Cr Nothing At All,4,RB3
All God's Chillun Got Rhythm,6,RB2
ALL IN LOVE IS FAIR,14,RB1
All Members,6,JLTD
ALL MY TOMORROWS,15,RB1
ALL OF ME,16,RB1
ALL OF YOU,17,RB1
ALL THE THINGS YOU ARE,18,RB1
All Too Soon,7,JLTD
Almost Like Being In Love,8,JLTD
ALONE TOGETHER,19,RB1
Along Came Betty,7,RB3
Altoitis,7,RB2
Always And Forever,8,RB3
Amor Sonador,9,JLTD
An Oscar For Treadwell,12,JLTD
ANA MARIA,20,RB1
"AND NOW, THE QUEEN",22,RB1
AND ON THE THIRD DAY,23,RB1
ANGEL EYES,24,RB1
Angela,9,RB3
Another Star,8,RB2
ANTHROPOLOGY,25,RB1
Anti Climax,13,JLTD
April,10,RB2
April Head,11,JLTD
APRIL IN PARIS,26,RB1
APRIL JOY,27,RB1
April Skies,9,RB2
Aquarius,13,JLTD
Are They Only Dreams,14,JLTD
"ARISE, HER EYES",28,RB1
ARMAGEDDON,30,RB1
Armando's Rhumba,10,RB3
AROUND AGAIN,22,RB1
Arriving Soon,12,JLTD
AS TIME GOES BY,31,RB1
Ask Me Now,12,RB2
At Last,15,JLTD
AU PRIVAVE,32,RB1
Autumn In 3,12,RB3
AUTUMN IN NEW YORK,33,RB1
AUTUMN LEAVES,36,RB1
Autumn Liebs,16,JLTD
Autumn Nocturne,13,RB3
Avalon,13,RB2
Avalon Place,14,RB3
"AY, ARRIBA!",34,RB1
Azule Serape,16,JLTD
Baby Breeze,19,JLTD
Background Music,20,JLTD
Backstage Sally,14,RB2
Bags And Traie,15,RB2
Bags' Groove,16,RB2
Bakai,22,JLTD
Ballad For Anita,15,RB3
Ballad For Trane,16,RB3
"Ballad, A (ferry Mulligan)",44,JLTD
BALLET,37,RB1
Ba-Lue Bolivar Ba-Lues-Are,20,RB2
Band Aid,21,JLTD
Barbados,17,RB2
Barbara,18,RB2
"Bark for Barsdale, A",18,JLTD
Basin Street Blues,19,RB2
Batter Up,24,JLTD
BATTERIE,38,RB1
Be Bop,21,RB2
Be My Love,18,RB3
Beach Wise,47,JLTD
Bea's Flat,23,JLTD
Beatrice,23,JLTD
Beautiful Friendship,17,RB3
BEAUTIFUL LOVE,39,RB1
BEAUTY AND THE BLAST,40,RB1
Beethoven's Blue 3rd,20,RB2
Bemsha Swing,22,JLTD
BENEATH IT ALL,41,RB1
Berkshire Blues,25,JLTD
Berrie's Tune,24,RB3
Beside Myself,20,RB3
"Bess, You Is My Woman Now",22,RB3
BESSIE'S BLUES,42,RB1
Best Thing For You Is Me,25,RB3
Better Git It In Your Soul,22,RB2
Better Git It In Your Soul,26,RB3
BEWITCHED,43,RB1
Beyond All Limits,23,RB2
"Beyond The Bluebird,",27,RB3
Big Bear,27,JLTD
Big Ben,26,JLTD
Big Bertha,28,JLTD
BIG NICK,44,RB1
Big P,404,RB2
Big Push The,30,JLTD
Billie's Bounce,24,RB2
Bills' Hit Tune,205,RB2
Bird Calls,28,JLTD
Birdland,26,RB2
Birds Mother,31,JLTD
Birk's works,37,RB2
Birth Of The Blues,25,RB2
BITTER SUITE IN THE OZONE,45,RB1
Black,32,JLTD
Black And Tan Fantasy,28,RB2
Black Bats and Poles,33,JLTD
BLACK DIAMOND,46,RB1
Black Eyes,34,JLTD
BLACK MONDAY,2,RB1A
BLACK NARCISSUS,47,RB1
BLACK NILE,48,RB1
BLACK ORPHEUS,49,RB1
BLESSED RELIEF,50,RB1
Bloomdido,29,RB2
Blue A La Mode,32,RB2
Blue And Sentimental,30,RB2
BLUE BOSSA,51,RB1
BLUE COMEDY,52,RB1
Blue Concept,38,JLTD
Blue Daniel,28,RB3
Blue Fable,36,JLTD
Blue Hawk,39,JLTD
BLUE IN GREEN,53,RB1
Blue Lace,37,JLTD
BLUE MONK,54,RB1
Blue Moon,31,RB2
BLUE ROOM,55,RB1
Blue Samba,39,JLTD
Blue Seven,33,RB2
Blue Silver,35,RB2
Blue Skies,40,JLTD
BLUE TRAIN,58,RB1
Bluebird,29,RB3
Blues Backstage,30,RB3
Blues By Five,33,RB2
Blues Connotation,32,RB2
BLUES FOR ALICE,57,RB1
Blues For Philly Joe,34,RB2
Blues For Wood,34,RB2
Blues In The Closet,36,RB2
Blues Peru,38,JLTD
BLUESETTE,56,RB1
Bob Movers Bossa Nova,41,JLTD
Bockhanal,24,JLTD
BODY AND SOUL,59,RB1
Bohemia After Dark,406,RB2
Bolivia,31,RB3
Bones From !ones,29,JLTD
Bongo Hop,47,JLTD
Boogie Stop Shuffle,38,RB2
Booker's Waltz,39,RB2
"Bop Boy,",34,RB3
Bop City,49,JLTD
Bop Shop,32,RB3
BOPLICITY,60,RB1
Born To Be Blue,35,RB3
"Bossa Rokka ,",36,RB3
BOSTON MARATHON,61,RB1
Bottoms Up,35,JLTD
Bouncing With Bud,40,RB2
"Boy Next Door, The",37,RB3
Boy What A Night,43,JLTD
BRAINVILLE,62,RB1
Branilian Beat,41,RB2
"Breakthrough, The",43,JLTD
Brian's Song,42,RB2
Bridgitte,45,JLTD
Bright Blues,49,JLTD
Bright Boy,43,RB2
Bright Moments,44,RB2
BRIGHT SIZE LIFE,64,RB1
Brilliant Corners,45,RB2
BROADWAY BLUES,65,RB1
Brown Skin Girl,46,RB2
Brownie Speaks,46,JLTD
BROWNOUT,66,RB1
Bruh Slim,48,JLTD
Bud Powell,38,RB3
Budo,47,RB2
Bud's Blues,40,RB3
Bud's Bubble,48,RB2
Bud's Idea,48,JLTD
Buhaina's Delight,50,JLTD
Bunko,49,RB2
Busch-Wacked,41,RB3
Buster Rides Again,37,RB2
Busy B's,42,JLTD
BUT BEAUTIFUL,67,RB1
But Not For Me,50,RB2
Butch and Butch,51,JLTD
BUTTERFLY,68,RB1
Buzzy,42,RB3
By Myself,43,RB3
"Bye Bye Baby,",44,RB3
Bye Bye Blackbird,51,RB2
Bye-Ya,51,JLTD
Byrdlike,407,RB2
C- Jam Blues,55,RB2
C.T.A.,72,JLTD
Can't We Be Friends,52,RB2
Cantelope Island,62,JLTD
CANYON SONG,72,RB1
CAPTAIN,70,RB1
Caravan,53,RB2
Careful,54,RB2
Careful,45,RB3
Careless Love,55,RB2
Cariba,88,JLTD
Carly and Carole,54,JLTD
Casa de Luz,56,JLTD
Cascades,53,JLTD
Cat Walk,55,JLTD
Catch Me,56,RB2
Cathy,52,JLTD
Celia,46,RB3
CENTRAL PARK WEST,156,RB1
CEORA,73,RB1
"Certain Smile, A",48,RB3
C'est What,57,RB2
Chameleon,58,RB2
Charcoal Blues,54,JLTD
Chariots,49,RB3
Charles Christopher Parker,63,JLTD
"Chase, The",59,RB2
Chasin' The Train,62,RB2
Chasing the Bird,52,JLTD
Cheek To Cheek,50,RB3
Cheese Cake,60,RB2
CHEGA DE SAUDADE,74,RB1
CHELSEA BELLS,76,RB1
CHELSEA BRIDGE,77,RB1
CHEROKEE,78,RB1
Cheryl,53,RB3
Cheshire Cat Walk,57,JLTD
Chesney,58,JLTD
CHICKEN FEATHERS,79,RB1
Chief Crazy Horse,59,JLTD
Children Of The Night,70,JLTD
CHILDREN'S SONG,80,RB1
CHIPPIE,85,RB1
Chronic Blues,60,JLTD
Circle,61,RB2
Circumstantial,61,JLTD
Close Enough For Love,54,RB3
COLORS OF CHLOE,82,RB1
Come Rain Or Come Shine,63,RB2
COME SUNDAY -88,88,RB1
Comin' Home Baby,64,RB2
Comin' On The Hudson,61,JLTD
Comin'Down,64,JLTD
COMO EN VIETNAM,86,RB1
Compensation,55,RB3
"Comrad,Conrad",65,JLTD
CON ALMA,89,RB1
CONCEPTION,90,RB1
CONFERENCE OF THE BIRDS,91,RB1
Confessin (That I Love You),65,RB2
CONFIRMATION,92,RB1
Connies Bounce,67,JLTD
Consternation,69,JLTD
CONTEMPLATION,3,RB1A
Contemplation,66,JLTD
Cookin',66,RB2
Cookin' At The Continental,64,JLTD
Cool Blues,64,RB2
Cool Eyes,56,RB3
"Cool One, The",68,JLTD
CORAL,93,RB1
CORCOVADO,94,RB1
"Core, The",66,RB2
"Cork ""N"" Bib",70,RB2
COTTONTAIL,95,RB1
COULD IT BE YOU,96,RB1
COUNTDOWN,97,RB1
COUNTRY ROADS,98,RB1
Cousin Mary,62,RB2
CRABFEATHERS,365,RB1
Crazeology,67,RB2
Crepuscule With Nellis,62,JLTD
CRESCENT,99,RB1
Crescent City,71,JLTD
Crisis,56,JLTD
Criss/Cross,68,RB2
Cry Me A River,58,RB3
CRYSTAL SILENCE,100,RB1
Cunga Black,73,JLTD
Cut Of This World,226,RB3
Cute,69,RB2
Cyclic Episode,73,JLTD
DAAHOUD,101,RB1
Dacapolypso,60,RB3
Dahomey Dance,74,JLTD
Dakar,75,JLTD
Dance Cadaverous,76,JLTD
Dance Of The Infidels,74,JLTD
DANCING ON THE CEILING,102,RB1
DARN THAT DREAM,103,RB1
Dat Dere,77,JLTD
Day Dream,59,RB3
"Day In Vienna, A",71,RB2
"Day In, Day Out",62,RB3
DAY WAVES,106,RB1
DAYS AND NIGHTS WAITING,104,RB1
"DAYS OF WINE AND ROSES, THE",105,RB1
DE POIS DE AMOR O'VAZIO,110,RB1
DEAR OLD STOCKHOLM,108,RB1
Dear Old Stockholm,78,JLTD
DEARLY BELOVED,107,RB1
Deception,79,JLTD
Decidedly,80,JLTD
Decision,408,RB2
Deep Purple,72,RB2
Dee's Dilemma,81,JLTD
Deja Vu,82,JLTD
Del Sasser,83,JLTD
DELORES,109,RB1
Deltitnu,293,JLTD
DELUGE,116,RB1
DESAFINADO,112,RB1
DESERT AIR,114,RB1
Desert Moonlight,84,JLTD
Dewey Square,73,RB2
Dexter,85,JLTD
DEXTERITY,117,RB1
Diane,74,RB2
Did You Call Her Today,87,JLTD
Dig,64,RB3
Dilemma,86,JLTD
Dimples,86,JLTD
Dindi,75,RB2
Dizzy's Business,89,JLTD
DJANGO,120,RB1
Do Nothing Till You Hear From Me,77,RB2
Do You Know What It Means (To Miss New Orleans),80,RB2
DOIN' THE PIG,118,RB1
Doin' The Things,90,JLTD
DOLPHIN DANCE,122,RB1
"DOLPHIN, THE",121,RB1
Domingo,76,RB2
DOMINO BISCUIT,123,RB1
DONNA LEE,124,RB1
Don't Ask Why,66,RB3
DON'T BLAME ME,125,RB1
Don't Ever Go Away,67,RB3
Don't Explain,90,JLTD
DON'T GET AROUND MUCH ANYMORE,126,RB1
Don't Look Back,68,RB3
Doodlin',91,JLTD
Double Clutching,70,RB3
Double Talk,88,JLTD
Down,92,JLTD
Down For Double,78,RB2
Doxy,79,RB2
Dr Jeckyll,89,JLTD
Dream Dancing,71,RB3
"Drive, The",81,RB2
Duff,70,RB2
"DUKE, THE",127,RB1
Duke's Sound Of Love,93,JLTD
E.K.'s Blues,92,RB2
E.T.A.,113,JLTD
Eager Beaver,94,JLTD
Early,95,JLTD
Early Autumn,82,RB2
Early Spring,107,JLTD
East Of The Sun,72,RB3
EASY LIVING,129,RB1
EASY TO LOVE,130,RB1
Ebony Moonbeams,96,JLTD
Ecaroh,104,JLTD
ECCLUSIASTICS,131,RB1
Eclipse (Henderson),97,JLTD
Eclipse (Mingus),97,JLTD
Eclypso,83,RB2
Edda,98,JLTD
EIDERDOWN,132,RB1
Eighth Day The,99,JLTD
EIGHTY ONE,134,RB1
Ein Bein Strauss,100,JLTD
Einbahnstrasse,92,RB2
EL GAUCHO,135,RB1
El Toro,103,JLTD
Elevation,100,JLTD
ELIZETE,136,RB1
Ellipsis (Helias),101,JLTD
Ellipsis (Rivers),102,JLTD
Elora,84,RB2
Elsa,102,JLTD
Elvin Sir Jones,103,JLTD
Emanon,73,RB3
Embraceable You,85,RB2
Emily,74,RB3
EMPATHY,137,RB1
Empathy,105,JLTD
Enchance,86,RB2
"End Of A Love Affair, The",75,RB3
Endlessly,76,RB3
Epilogue,87,RB2
EPISTROPHY,138,RB1
EQUINOX,139,RB1
EQUIPOISE,140,RB1
Erlcloth,106,JLTD
Eronel,107,JLTD
Escapade,108,JLTD
ESP,141,RB1
Estate,78,RB3
Estimated Time Of Arrival,109,JLTD
Etemal Triangle,79,RB3
Eternal Triange,114,JLTD
Evening In Concert,88,RB2
Evergreenish,110,JLTD
Every Now And Then,111,JLTD
Every Time I See You,112,JLTD
Everything Happens To Me,82,RB3
Everything I Have Is Yours,89,RB2
Everything I Love,83,RB3
Evidence,112,JLTD
Ev'ry Time We Say Good Bye,80,RB3
EXERCISE #3,142,RB1
EXERCISE #6,143,RB1
Exodus,115,JLTD
Eye Of The Hurricane,90,RB2
Ezz-thetic,91,RB2
FABLES OF FAUBUS,144,RB1
Face Dancer,118,JLTD
Fair Weather,116,JLTD
FALL,146,RB1
FALLING GRACE,147,RB1
FALLING IN LOVE WITH LOVE,148,RB1
Fanhandle Hook,232,RB3
Farkle Flakes,129,JLTD
Fat Lady,117,JLTD
Father,84,RB3
Favela,85,RB3
FEE-FI-FO-FUM,149,RB1
FEELINGS AND THINGS,150,RB1
Feels So Good,94,RB2
Fell Like Makin' Love,86,RB3
"FIELDS WE KNOW, THE",151,RB1
Fine And Dandy,119,JLTD
First Moves,96,RB2
First Trip,97,RB2
Five,120,JLTD
Five Brothers,98,RB2
FIVE HUNDRED MILES HIGH,152,RB1
Five Spot After Dark,104,RB2
Five-Four Thing,121,JLTD
FLAGS,156,RB1
Flamingo,122,JLTD
Flim Flam,99,RB2
Flintstone's Theme,100,RB2
Florences Fantasy,123,JLTD
"Flower Is A Lonesome Thing, A",101,RB2
Flowers For A Lady,124,JLTD
Fly By Night,102,RB2
Fly Me To The Moon,106,RB2
